"Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay"
2006,10,20,5,458,500,852,905,"AA",1122,"N430AA",114,125,96,-13,-2,"TUS","DFW",813,11,7,0,"",0,0,0,0,0,0
2005,4,14,4,1156,1203,1246,1259,"MQ",4255,"N691AE",50,56,40,-13,-7,"GRB","ORD",174,5,5,0,"",0,0,0,0,0,0
2006,9,3,7,1655,1700,1918,1855,"DL",1727,"N912DL",143,115,117,23,-5,"DCA","ATL",547,10,16,0,"",0,0,0,23,0,0
2005,2,14,1,1602,1607,1958,2000,"CO",558,"N14654",176,173,149,-2,-5,"IAH","DCA",1208,6,21,0,"",0,0,0,0,0,0
2005,8,23,2,1155,1200,1344,1347,"FL",189,"N893AT",109,107,86,-3,-5,"DCA","ATL",547,10,13,0,"",0,0,0,0,0,0
2006,9,5,2,2001,2005,2037,2042,"HA",596,"N485HA",36,37,21,-5,-4,"HNL","OGG",100,4,11,0,"",0,0,0,0,0,0
2006,12,14,4,929,928,1150,1155,"OO",3842,"N710BR",81,87,64,-5,1,"PSC","SLC",521,7,10,0,"",0,0,0,0,0,0
2006,6,8,4,708,710,803,808,"OO",6159,"N216SW",55,58,34,-5,-2,"LAX","SBP",155,1,20,0,"",0,0,0,0,0,0
2005,10,30,7,1955,1955,2255,2305,"WN",776,"N475",120,130,113,-10,0,"BNA","MHT",938,2,5,0,"",0,0,0,0,0,0
2005,1,8,6,1624,1544,2019,1950,"NW",1325,"N508US",355,366,334,29,40,"SJU","MSP",2404,4,17,0,"",0,29,0,0,0,0
2006,4,9,7,1703,1708,1758,1815,"MQ",4390,"N935AE",55,67,44,-17,-5,"RST","ORD",268,6,5,0,"",0,0,0,0,0,0
2006,7,24,1,1702,1630,1806,1740,"WN",334,"N358",64,70,55,26,32,"BUR","SMF",358,3,6,0,"",0,2,0,0,0,24
2006,4,24,1,1945,1840,2143,2055,"WN",2201,"N758",298,315,284,48,65,"BWI","LAS",2106,3,11,0,"",0,0,0,0,0,48
2006,8,18,5,1045,1045,1212,1210,"WN",1554,"N337",87,85,76,2,0,"SMF","SAN",480,2,9,0,"",0,0,0,0,0,0
2006,10,21,6,2025,2025,2102,2110,"OO",6874,"N765SK",37,45,25,-8,0,"ORD","MKE",67,3,9,0,"",0,0,0,0,0,0
2005,1,3,1,815,810,918,916,"US",1132,"N776AU",63,66,45,2,5,"CLT","ORF",290,5,13,0,"",0,0,0,0,0,0
2006,8,9,3,819,820,932,930,"WN",1614,"N389SW",73,70,58,2,-1,"BUR","SMF",358,2,13,0,"",0,0,0,0,0,0
2005,11,15,2,1601,1606,2135,2006,"CO",558,"N24633",274,180,181,89,-5,"IAH","DCA",1208,4,89,0,"",0,0,0,89,0,0
2005,1,14,5,1553,1555,1655,1700,"OO",6442,"N709SK",62,65,48,-5,-2,"SFO","BUR",326,3,11,0,"",0,0,0,0,0,0
2006,10,16,1,2027,1925,131,45,"WN",2803,"N762",184,200,169,46,62,"LAS","MDW",1521,5,10,0,"",0,2,0,0,0,44
2005,10,25,2,2135,2045,2311,2238,"EV",4247,"N855AS",96,113,56,33,50,"CLE","ATL",554,21,19,0,"",0,0,33,0,0,0
2005,2,9,3,1030,1030,1206,1209,"DH",1621,"N694BR",96,99,80,-3,0,"IAD","CHS",441,4,12,0,"",0,0,0,0,0,0
2005,4,23,6,655,700,928,930,"TZ",4625,"N522AT",273,270,252,-2,-5,"MDW","SFO",1855,4,17,0,"",0,0,0,0,0,0
2005,12,18,7,1611,1555,1809,1815,"UA",564,"N398UA",118,140,99,-6,16,"DFW","ORD",802,7,12,0,"",0,0,0,0,0,0
2006,10,30,1,1239,1228,1420,1414,"DL",1508,"N963DL",101,106,77,6,11,"PIT","ATL",526,10,14,0,"",0,0,0,0,0,0
2006,3,4,6,1811,1810,2057,2047,"US",99,"N630AU",346,337,299,10,1,"PHL","LAS",2176,6,41,0,"",0,0,0,0,0,0
2006,7,18,2,1304,1306,1425,1433,"OO",6524,"N927SW",81,87,67,-8,-2,"SMF","LAX",373,6,8,0,"",0,0,0,0,0,0
2005,7,1,5,1740,1730,2000,1951,"AS",585,"N958AS",140,141,127,9,10,"SAN","PDX",933,4,9,0,"",0,0,0,0,0,0
2006,1,15,7,1608,1535,1946,1905,"XE",3154,"N13979",158,150,127,41,33,"BHM","EWR",850,15,16,0,"",0,0,0,41,0,0
2006,4,10,1,745,745,836,840,"WN",396,"N327",51,55,38,-4,0,"ONT","LAS",197,3,10,0,"",0,0,0,0,0,0
2005,9,7,3,NA,1045,NA,1228,"UA",720,"000000",NA,103,NA,NA,NA,"SFO","PDX",550,0,0,1,"A",0,0,0,0,0,0
2005,12,30,5,632,633,920,925,"MQ",4002,"N611AE",108,112,81,-5,-1,"ORD","CLT",599,6,21,0,"",0,0,0,0,0,0
2006,8,17,4,1350,1350,1511,1515,"XE",2876,"N12957",81,85,59,-4,0,"EWR","PIT",319,6,16,0,"",0,0,0,0,0,0
2005,3,11,5,2050,2017,2308,2209,"FL",80,"N933AT",138,112,90,59,33,"FLL","ATL",581,11,37,0,"",0,0,0,26,0,33
2005,1,28,5,1702,1702,1750,1806,"EV",4282,"N825AS",48,64,37,-16,0,"ATL","TRI",227,3,8,0,"",0,0,0,0,0,0
2006,10,4,3,1444,1400,1738,1705,"EV",4657,"N976EV",174,185,155,33,44,"BTV","ATL",960,13,6,0,"",0,33,0,0,0,0
2006,3,22,3,920,920,1026,1025,"WN",896,"N391SW",66,65,51,1,0,"BUR","SJC",296,2,13,0,"",0,0,0,0,0,0
2006,8,10,4,810,735,1047,1011,"US",91,"N177UW",337,336,305,36,35,"PHL","SAN",2369,4,28,0,"",0,35,0,1,0,0
2005,6,13,1,611,616,651,704,"MQ",3684,"N637AE",40,48,29,-13,-5,"GRK","DFW",134,5,6,0,"",0,0,0,0,0,0
2005,12,4,7,1908,1851,2259,2256,"CO",1776,"N35204",171,185,140,3,17,"IAH","PHL",1324,4,27,0,"",0,0,0,0,0,0
2006,5,19,5,813,815,1547,1547,"NW",340,"N303US",274,272,246,0,-2,"SFO","DTW",2079,12,16,0,"",0,0,0,0,0,0
2006,11,10,5,2019,2005,48,40,"WN",1178,"N324",149,155,134,8,14,"LAS","AUS",1090,5,10,0,"",0,0,0,0,0,0
2006,1,1,7,1359,1359,1502,1452,"FL",24,"N978AT",123,113,83,10,0,"ATL","MDW",590,28,12,0,"",0,0,0,0,0,0
2006,9,4,1,1121,1125,1230,1245,"WN",3547,"N205",69,80,59,-15,-4,"MCI","MDW",405,5,5,0,"",0,0,0,0,0,0
2006,11,4,6,1018,1029,1203,1154,"NW",288,"N601NW",105,85,70,9,-11,"DTW","ALB",488,7,28,0,"",0,0,0,0,0,0
2006,8,11,5,2021,1912,2313,2224,"FL",298,"N932AT",112,132,96,49,69,"HOU","ATL",696,8,8,0,"",0,0,0,0,0,49
2006,4,23,7,1459,1500,1640,1647,"AA",1414,"N245AA",101,107,80,-7,-1,"DFW","BNA",631,6,15,0,"",0,0,0,0,0,0
2006,8,3,4,1322,1215,1503,1403,"AA",665,"N542AA",101,108,83,60,67,"ORD","TUL",585,4,14,0,"",0,0,0,0,0,60
2005,7,5,2,2059,2058,2326,2249,"NW",477,"N770NC",147,111,87,37,1,"DTW","ATL",594,30,30,0,"",0,0,0,37,0,0
2006,11,11,6,1955,1945,2131,2124,"US",1919,"N427US",96,99,70,7,10,"CLT","IND",428,6,20,0,"",0,0,0,0,0,0
2006,8,8,2,2034,2000,2303,2250,"WN",751,"N792",149,170,140,13,34,"ISP","TPA",1034,2,7,0,"",0,0,0,0,0,0
2005,3,22,2,1952,2015,2036,2058,"MQ",4422,"N627AE",44,43,27,-22,-23,"TVC","MQT",142,6,11,0,"",0,0,0,0,0,0
2006,4,15,6,631,635,730,734,"OO",3733,"N214SW",59,59,43,-4,-4,"TWF","SLC",175,5,11,0,"",0,0,0,0,0,0
2006,10,25,3,2141,2140,2310,2300,"MQ",3144,"N849AE",89,80,67,10,1,"SJC","SAN",417,8,14,0,"",0,0,0,0,0,0
2005,2,2,3,2440,2255,2604,16,"EV",4471,"N862AS",84,81,-1390,108,105,"CVG","CAE",404,1454,20,0,"",0,0,105,3,0,0
2005,8,3,3,1518,1522,1608,1614,"MQ",3965,"N663AR",50,52,31,-6,-4,"PIA","ORD",130,6,13,0,"",0,0,0,0,0,0
